,Unnamed: 0,Unnamed: 0.1,created_at,id,full_text,source,retweet_count,favorite_count,hashtags,user_screen_name,user_location,user_followers_count,user_verified,user_handle,sentiments
0,0,0,Mar-05,1.37E+18,no fact-checker can beat the speed of my dad being told he has to avoid alcohol after getting covid vaccine,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",131,2092,,A2D2_,"New Delhi, India",8515,FALSE,Anisha Dutta,0
1,1,1,Mar-05,1.37E+18,more than 1.90 cr vaccine doses administered.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,"COVID19,LargestVaccineDrive",ShashankFC239,"Lucknow,India ",614,FALSE,Shashank S Verma,0
2,2,2,Mar-05,1.37E+18,"the data indicates that the astrazeneca covid vaccine will not need to be modified in order to protect against the variant, which is believed to have originated in the amazonian city of manaus","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",4,6,,livemint,India,1950661,TRUE,Mint,-1
3,3,3,Mar-05,1.37E+18,"with 81% efficacy in the interim findings, has got shot in the arm to dispel doubts about it. what is the meaning of vaccine efficacy?","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",4,10,"BharatBiotech,Covaxin,coronavirus,CoronaVirusUpdates",bsindia,India,2072056,TRUE,Business Standard,-1
4,4,4,Mar-05,1.37E+18,the thursday asked centre to explain the rationale behind keeping strict control over of persons who can be vaccinated against as under present system those above 60 years or with comorbidities can receive the vaccine,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1,"delhihighcourt,class,COVID19",NagalandPage,"Nagaland, India",5743,FALSE,Nagaland Page,0
5,5,5,Mar-05,1.37E+18,the best covid19 medicine is the one available now#don't be ear to rumours#take your vaccine,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,20,,DHFWKA,"Karnataka, India",94003,TRUE,K'taka Health Dept,1
6,6,6,Mar-05,1.37E+18,"covaxin vaccine : 81% efficacy pm modi took the jab... rest taking it... world appreciating... zimbabwe orders it.. but opposition states like kerala, punjab and chhattisgarh refuse to use covaxin this is insulting india’s scientists for the sake of politics. what shame!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,azad_parinda__,ahmedabad,117,FALSE,Silent Creature,-1
7,7,7,Mar-05,1.37E+18,india is partly free =========================an indicator you can careless its not others fault if they observed and check temp and publish no offence. to be taken as testing for covid 19 and if positive blaming the test vaccine programme,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,AbramMasoodi,"West Bengal, India",122,FALSE,Abram Masoodi,0
8,8,8,Mar-05,1.37E+18,am the only one who is not goona take the vaccine at any cost ?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,23,,heistkid,"Maharashtra, India",23312,FALSE,Wisecracker,-1
9,9,9,Mar-05,1.37E+18,"shivraj singh chouhan, wife get covid-19 vaccine","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,TOIBhopal,Bhopal,1116,FALSE,Bhopal,0
10,10,10,Mar-05,1.37E+18,scientists from found that the highly transmissible coronavirus variant p.1 that originated in brazil and has now spread to at least 20 countries is capable of re-infecting covid-19 survivors,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,dramitdang,Hyderabad,402,FALSE,Dr.  Amit Dang,0
11,11,11,Mar-05,1.37E+18,first dose of covid vaccine done,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,sachdeva77,gurgaon,19,FALSE,Raj Kumar Sachdeva,0
12,12,12,Mar-05,1.37E+18,"not only attempted 1 billion funds from bank account, but they also tried to get from other sources like daw khin kyi foundation, weloveyangon charity organization, and covid-19 vaccine purchasing funds.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,WhatsHappeningInMyanmar,warwar2014,"Yangon, Myanmar(Burma)",331,FALSE,WAR WAR AUNG,0
13,13,13,Mar-05,1.37E+18,everything about both the vaccines and their side effects...,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0,"Covaxin,Covishield,CovishieldVaccine,CoronaVaccine,coronavirus,COVID19Vaccine,COVID19,COVID,vaccination,CoronavirusVaccine",Entertales,"Pune, India",2164,FALSE,Entertales,0
14,14,14,Mar-05,1.37E+18,"pm narendra modi took covid-19 vaccine in aiims, delhi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,dipak_nooz,"Kolkata, India",60,FALSE,Dipak Debnath@Aajtak @India Today,0
15,15,15,Mar-05,1.37E+18,"explained: as you take the covid-19 vaccine, some dos and don’ts - the indian express via","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,06a346fcd3f0455,"Surat, India",23,FALSE,Matadeen Dokania,0
16,16,16,Mar-05,1.37E+18,‘provide vaccine to citizens first before exporting it’: hc raps centre- the new indian express,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,newstimebarak,"Assam, India",568,FALSE,NEWS TIME BARAK,0
17,17,17,Mar-05,1.37E+18,received my first shot of vaccine today at military hospital in ranchi.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,2,"Covid19,Covishield",iaf_sanjayjoshi,"Gujarat, India",422,FALSE,Sanjay Joshi,0
18,18,18,Mar-05,1.37E+18,australian pm plays down italy vaccine blockade,"<a href=""https://www.colombiaonline.com/"" rel=""nofollow"">M360 Twitter APIs App</a>",0,0,,wetheworldmagz,"Kolkata, West Bengal, India",123,FALSE,We The World Magazine,0
19,19,19,Mar-05,1.37E+18,i took my first dose of covid 19 vaccine at baranagar n.u.h.m. center yesterday . urge everyone to come forward and take covid 19 vaccine in their respective turn.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,2,"COVID19Vaccine,DefeatCovid19",Xc3ZNZZm6eww55V,BARANAGAR,78,FALSE,9836534555,1
20,20,20,Mar-05,1.37E+18,single-shot covid-19 vaccine is popular at vaccination sites,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,,taranumgoel,"Mumbai, India",579,FALSE,Taranum Goel,1
21,21,21,Mar-05,1.37E+18,coz so many questions about alcohol consumption and the covid vaccine,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,,radzzzzster,"Mumbai, India",1824,FALSE,Tu Kaun Hai Bey,0
22,22,22,Mar-05,1.37E+18,"crazy attitude - sitting right next to world's largest vaccine producer, pakistan govt says it has no plans to buy covid-19 vaccines during current year.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,3,,Rezhasan,Dilli,20307,TRUE,Rezaul Hasan Laskar,-1
23,23,23,Mar-05,1.37E+18,"the government has lifted the time restriction on receiving covid-19 vaccine jabs so as to increase the pace of immunisation, said health minister dr. harsh vardhan.","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",0,2,,Star_Of_Mysore,"Mysore, India",9415,FALSE,Star Of Mysore,0
24,24,24,Mar-05,1.37E+18,"the country’s covid-19 tally currently stands at 1,11,73,761. via","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,NELiveTV,"Guwahati, India",9921,FALSE,Northeast Live,0
25,25,25,Mar-05,1.37E+18,"made in india vaccines reach uganda, as part of 'vaccine maitri'.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,COVID19,WeForNews,"New Delhi, Delhi",4682,FALSE,We For News,0
26,26,26,Mar-05,1.37E+18,noted artist dr subodh kerkar visited with his mother for covid vaccination.he also displayed his artistic skill there by painting my cartoon showing me as cricket player with bat in one hand & vaccine in other.(1/2),"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,5,,dr_salkar,Goa,162,FALSE,Dr Shekhar Salkar,0
27,27,27,Mar-05,1.37E+18,crowd at hospitals for covid vaccine seems to be easing bit. looks like india is well position to stun the world by meeting the challenges of covid-19 in india vaccine way ahead of target date,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,"COVID19,COVID19Vaccine,COVIDVaccination",RagsTweets,India,644,FALSE,Rags,1
28,28,28,Mar-05,1.37E+18,"waiting for vaccine rollout to speed up here.  i'm so patient, not at all frustrated. totally cool that only like 4% of our pop has gotten dose so far. tortoise and the hare? don't want to see anyone anyway!","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1,,whatthewhat85,ca-na-da,146,FALSE,cam,1
29,29,29,Mar-05,1.37E+18,"5th march, current affair zimbabwe becomes first african country to authorise the use of india's covaxin. saudi arabia makes covid vaccine mandatory for haj pilgrims. india signs pact with philippines for supply of brahmos missile","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,3,,TheCurrentAffa,"Lucknow, India",499,FALSE,The Current Affairs,0
